,results_id,experiment_id,group_id,sample_id,analysis_name,analysis_id,original_assay_type,original_assay_type_id,datatype,datatype_id,file_access,file_type,replications,comments,result_id
109495,,,,,,,RNA SEQ,,,,,,,,EXP20686
109496,,,,,,,RNA SEQ,,,,,,,,EXP33242
109497,,,,,,,RNA SEQ,,,,,,,,EXP33242
109498,,,,,,,RNA SEQ,,,,,,,,EXP33243
109499,,,,,,,RNA SEQ,,,,,,,,EXP33243
109500,,,,,,,RNA SEQ,,,,,,,,EXP33243
109501,,,,,,,RNA SEQ,,,,,,,,EXP20686
109502,,,,,,,RNA SEQ,,,,,,,,EXP33242
109503,,,,,,,RNA SEQ,,,,,,,,EXP33242
109504,,,,,,,RNA SEQ,,,,,,,,EXP33243
109505,,,,,,,RNA SEQ,,,,,,,,EXP33243
109506,,,,,,,RNA SEQ,,,,,,,,EXP33243
109507,,,,,,,RNA SEQ,,,,,,,,EXP20686
109508,,,,,,,RNA SEQ,,,,,,,,EXP33242
109509,,,,,,,RNA SEQ,,,,,,,,EXP33242
109510,,,,,,,RNA SEQ,,,,,,,,EXP33243
109511,,,,,,,RNA SEQ,,,,,,,,EXP33243
109512,,,,,,,RNA SEQ,,,,,,,,EXP33243
109513,,,,,,,RNA SEQ,,,,,,,,EXP20686
109514,,,,,,,RNA SEQ,,,,,,,,EXP33242
109515,,,,,,,RNA SEQ,,,,,,,,EXP33243
109516,,,,,,,RNA SEQ,,,,,,,,EXP33243
109517,,,,,,,RNA SEQ,,,,,,,,EXP33243
