,0
POU6F2-AS1,2.2319011257958263
PPP2CB,2.054866735125013
PRR23D1,2.7334635232239237
PYGO1,4.860589549170744
RAB39B,3.888539002239342
RAB6C-AS1,6.421058158039911
RABEP2,2.3885052620622824
RAPGEF3,2.402801707142377
RERG-AS1,7.550476013731725
RGPD6,2.195176589127496
RIMBP3,2.689639289727594
RIMBP3B,5.6703068683876445
RIMS2,2.173249220109944
RND1,2.985826520118511
RORB,5.166182945865566
RPE,3.7497823899044165
RSPH10B,2.0714919604575406
SCARNA2,2.6302602731142826
SCARNA9L,4.50946607706645
SCGB2B2,5.934341901035772
SCN8A,2.6366380059779293
SCUBE2,11.293423149713048
SDHAP3,2.787140418788845
SEBOX,4.077591085738906
SEMG2,3.584201898958609
SH3D19,2.248806813195541
SLC10A5,2.2791955286821683
