,0
H2AC14,4.202704713874998
HMMR,2.1281202314074807
HNRNPCL2,3.6393967554712496
HPD,8.86368986593307
HSD17B3,4.191164211285347
HSFY2,2.881947670646753
HSPA4L,2.1165385688167233
IL1RL1,4.469605287128687
IL2RA,13.587348985959633
IQCF3,12.447799783095133
ITGA3,2.2768136413800026
ITPKA,5.6844731395135755
JRK,2.0391220052526973
KATNAL2,2.2599476743102507
KCNA7,12.068853598259766
KCNQ1,2.1807977400419625
KIAA0319,3.781138106180694
KLF7,2.5977872694646624
KLK13,3.1621812665641214
KNG1,42.16301955420306
KRT27,10.045939617407114
KRTAP1-5,21.50049551213303
LGALS7,3.7878930723781314
LINC00160,3.535816299273181
LINC00380,2.157954274970217
LINC00930,8.17236662670616
LINC01615,3.5176022284097987
LRRC36,4.82488592236727
LTC4S,2.6568635804443077
LUZP6,2.155029822663137
LYPD6,4.369033154599255
MAB21L3,55.96606784583555
MAGEA5P,3.2119269108179496
MEST,2.8546239028799536
MICAL3,2.236984083367504
MINCR,2.0390553406144174
MIR100,5.360205788082144
MIR1179,2.9674368822762203
MIR1200,6.008772554548596
MIR1203,5.653908072867409
MIR124-2,24.409283135222918
MIR1246,348.0513572177027
MIR1249,4.617572377220046
MIR1271,5.628995354198407
MIR1301,2.58073143102136
MIR1302-6,2.4950937834028473
MIR1302-8,8.26759231098648
MIR139,2.0884998939104005
MIR153-2,4.1131446126759785
MIR15B,3.7038671523224185
MIR1827,6.259312230106876
MIR212,21.939582566785464
MIR296,2.402389657337103
MIR302D,2.0633442263464827
MIR30C1,2.8615740624258947
MIR323A,2.4377190238564137
MIR337,2.974098741310229
MIR448,2.0393287065547905
MIR450A2,2.7982873844618674
MIR499B,3.2724645317880827
MIR512-2,4.056236653567717
MIR520H,2.451975716467716
MIR521-2,5.266184676154138
MIR550A2,4.3780192611809206
MIR564,3.867313137638386
MIR568,2.8604460650673715
MIR592,2.248855132803962
MIR624,2.4224842364538817
MIR629,2.911327126069652
MIR630,5.2812413605564075
MIR641,2.4695991040559844
MIR643,2.405648088759575
MIR646,2.7419986757329595
MIR708,2.5898218994579207
MIR875,7.707330351487234
MIR924,2.069566028117965
MIR943,3.303009849636232
MIRLET7I,2.2638609848709987
MORN3,4.0083160287845585
MPV17L2,2.150953805729902
MRPS31P5,13.454508226192518
MUC16,inf
MYBPHL,24.767147867775847
MYH15,7.3282561732264275
NEUROD1,4.995062801047858
NEUROD4,2.3373587992901177
NID1,3.7228354668879944
NME5,110.62711084742227
NMS,18.55677413495602
NOX4,2.393089529441606
OLFM4,2.3894586126870676
OLIG3,3.13423021751022
OR10K1,10.141778137014803
OR11A1,5.319101670163384
OR11G2,2.828403791119638
OR2B3,2.2270193802073432
OR2L13,3.791312569046023
OR4C6,2.2594304223657997
OR52A1,2.209699451029885
OR52N1,4.528795722799826
OR52R1,2.38690274122701
OR6C76,3.651655976750006
OR7A5,2.501663899323398
OR8D4,2.579489442717352
PA2G4P4,8.439374211390273
PAX3,6.10529694444847
PBK,2.2539697378501438
PCDH11X,2.2459852443953174
PCDHB6,3.1845099754417823
PCDHGA2,2.8748892329020066
PCDHGA3,2.13202753733913
PEX3,4.619342004101961
PLEKHD1,5.12648653137076
PSPH,2.7998030760226027
PTPN14,5.5242139660185785
PTPRVP,2.276921083725659
PYGO1,2.964170611350527
RAB39B,2.424129647096404
RAB6C-AS1,2.746031963648325
RAD21L1,3.362627045636543
RBMS2,4.153012569363516
RERG-AS1,3.134163983807142
RFT1,2.100038594752895
RIMBP3B,3.6209160459169487
RMST,2.3404737322685785
RORB,3.0495250481816645
RPE,2.3165573454499993
RPL22L1,2.353958668723399
S100A2,3.137844216975077
SALL3,6.410185452228619
SCARNA9L,2.114105434812915
SCG5,2.4879898334449666
SCGB2B2,3.509385251394514
SCN3A,3.3379071429445686
SCN8A,2.2022681784955034
SCUBE2,6.194762015572926
SEBOX,2.9541484004647707
SEMG2,2.230755798292587
SENP8,2.2366417577829742
SERPINE3,4.663275911498185
SIRT6,2.5080741974587064
SLC13A2,3.6218724977887384
SLC13A5,2.0501577916340916
SLC16A11,13.158101777296414
SLC28A1,5.127360768800677
SLC30A8,2.078367021732106
SLC34A3,7.342435887274009
SLC35F6,2.062155980012087
SLC7A4,2.323724221942719
SMAD5-AS1,2.3034096970536946
SMN2,3.8833514779954856
SNAR-I,4.796480256130923
SNORA53,2.7707870063708455
SNORD101,13.605052119912449
SNORD11,4.485052109110951
SNORD113-9,5.757042414632078
SNORD114-17,39.649235418073765
SNORD126,2.0249488881449493
SNORD12B,3.6215751561496496
SNORD48,4.996677462918601
SNORD59B,17.65467182670526
SNORD91A,2.042664681729599
SNORD91B,2.6680914899429418
SNORD96B,2.2925861236680354
SNX31,2.446745643179836
SOX15,5.375803157912639
SPDYE2,3.6616575015569346
SPOCK1,2.817637314053483
SPPL2C,10.792605778381855
SPZ1,5.823778021871077
STEAP3,2.0225422720245083
SYNPR,2.1826051501164834
TBC1D3P5,10.099378974008355
TCP11L2,2.47422662418529
TENM4,2.1447930069113155
TINAG,4.481577129104134
TMEM260,2.21879754361413
TMEM74,4.059416867487737
TMTC2,2.456805331281162
