,Gene_x
214272,DDX59-AS1
388647,DEFB124
20521,DEFB131B
643560,DEPTOR-AS1
63942,DES
155359,DGCR5
813188,DHRS2
122189,DHRS4L1_ENSG00000285467
98915,DHRSX-IT1_ENSG00000223571
144814,DIAPH3-AS1
143000,DIO1
139717,DIRAS2
145977,DIRC3
95522,DISC1-IT1
262309,DISP2
947283,DISP3
446719,DKK1
572347,DKK2
144771,DLG1-AS1
145969,DLG3-AS1
648533,DLGAP1-AS4
823171,DLGAP2
256616,DLL4
199431,DLX2
896710,DM1-AS
140741,DMRTA1
272786,DMXL1-DT
201851,DNAAF3
882493,DNAAF8
761237,DNAH10
149202,DNAH10OS
450048,DNAH12
884573,DNAH17
79572,DNAH2
145829,DNAH8-AS1
265683,DNAJB13
527922,DNAJB5-DT
80057,DNER
152787,DOCK9-DT
134679,DOK6
879162,DPEP1
91437,DPEP2NB
631599,DPF1
76980,DPYS
622630,DPYSL3
881338,DQX1
448762,DRC7
817847,DRP2
91795,DSCAS
22853,DTD1-AS1
505923,DTNA
138410,DUOX1
138529,DUOX2
872091,DUSP26
66735,DYNC1I1
86648,DYNC1LI2-DT
276073,DYNLRB2-AS1
890344,DYRK3-AS1
84229,DYTN
70421,DZIP1
510585,DZIP1L
134725,EBF4
394418,ECI2-DT
625056,ECM2
374879,EDIL3
135009,EEF1A2
451266,EFCAB6
205387,EFCAB8
194221,EFNB2
266268,EGFL6
210897,EGFLAM-AS1
89732,EGILA
192318,EHF
90367,EIF5-DT
900098,EIPR1-IT1
871201,ELN
826961,ELN-AS1
436360,EMCN
631171,EMID1
822767,ENO4
509017,ENOX1
513677,ENPP1
881762,ENPP3
883897,ENPP7
138735,ENSG00000145063.15
161000,ENSG00000151303.11
139304,ENSG00000159239.13
382785,ENSG00000167807.15
140538,ENSG00000173862.3
142308,ENSG00000197332.9
630067,ENSG00000197670.6
389930,ENSG00000197815.4
204425,ENSG00000203335.5
142547,ENSG00000203469.2
80668,ENSG00000203565.3
142626,ENSG00000203987.3
823546,ENSG00000204814.5
514155,ENSG00000205037.2
80979,ENSG00000205414.1
142882,ENSG00000205537.2
81004,ENSG00000205622.13
81017,ENSG00000205682.2
19176,ENSG00000205959.4
886030,ENSG00000214248.2
143375,ENSG00000214265.11
267179,ENSG00000214559.3
390971,ENSG00000214708.4
514755,ENSG00000214803.3
886102,ENSG00000214955.5
660453,ENSG00000215304.3
81625,ENSG00000215841.4
143528,ENSG00000217702.3
267305,ENSG00000217825.2
166194,ENSG00000221857.7
205500,ENSG00000222032.2
157658,ENSG00000223523.1
143685,ENSG00000223576.2
205591,ENSG00000223642.7
143722,ENSG00000223711.2
143727,ENSG00000223725.6
81872,ENSG00000223834.5
405930,ENSG00000223837.2
824541,ENSG00000223881.2
638880,ENSG00000223884.7
143785,ENSG00000223946.1
81903,ENSG00000223969.7
81907,ENSG00000223989.1
143817,ENSG00000224066.1
81933,ENSG00000224077.1
81950,ENSG00000224132.2
267639,ENSG00000224228.2
143899,ENSG00000224371.6
205804,ENSG00000224409.1
205827,ENSG00000224521.2
143944,ENSG00000224541.1
82079,ENSG00000224635.2
391555,ENSG00000224746.2
824782,ENSG00000224799.1
282769,ENSG00000224945.1
82174,ENSG00000224950.2
96438,ENSG00000225092.2
97178,ENSG00000225213.2
82260,ENSG00000225284.1
824951,ENSG00000225408.1
886843,ENSG00000225420.1
391796,ENSG00000225612.2
329929,ENSG00000225689.2
391831,ENSG00000225752.1
391880,ENSG00000225913.2
82477,ENSG00000226012.1
206263,ENSG00000226043.2
20629,ENSG00000226180.3
515740,ENSG00000226206.1
82560,ENSG00000226334.1
144471,ENSG00000226423.1
206394,ENSG00000226548.1
82624,ENSG00000226578.1
82630,ENSG00000226601.1
144520,ENSG00000226605.1
144550,ENSG00000226699.1
144600,ENSG00000226849.1
454058,ENSG00000226900.2
144669,ENSG00000227061.2
268487,ENSG00000227189.2
887368,ENSG00000227192.1
206617,ENSG00000227240.2
639852,ENSG00000227301.1
144809,ENSG00000227512.1
206744,ENSG00000227705.1
82981,ENSG00000227741.1
82986,ENSG00000227757.3
144903,ENSG00000227920.3
268698,ENSG00000228008.1
825691,ENSG00000228010.6
206818,ENSG00000228033.6
144974,ENSG00000228162.2
206876,ENSG00000228216.1
97247,ENSG00000228280.1
825789,ENSG00000228334.3
887683,ENSG00000228352.2
145047,ENSG00000228408.6
95569,ENSG00000228496.2
454524,ENSG00000228541.3
268864,ENSG00000228549.5
763972,ENSG00000228561.2
145124,ENSG00000228655.7
268946,ENSG00000228793.3
83284,ENSG00000228800.1
83291,ENSG00000228830.1
887841,ENSG00000228843.2
83298,ENSG00000228852.6
145189,ENSG00000228862.5
145204,ENSG00000228925.1
145258,ENSG00000229188.2
207153,ENSG00000229203.1
145283,ENSG00000229261.1
21512,ENSG00000229271.3
145292,ENSG00000229278.4
145310,ENSG00000229321.2
640441,ENSG00000229418.2
145363,ENSG00000229502.5
826163,ENSG00000229618.3
269175,ENSG00000229628.1
83527,ENSG00000229672.3
269210,ENSG00000229751.1
83550,ENSG00000229770.2
21679,ENSG00000229848.1
393022,ENSG00000229896.2
393027,ENSG00000229915.1
98885,ENSG00000229955.1
207389,ENSG00000229976.2
145503,ENSG00000229983.1
281220,ENSG00000230090.5
269326,ENSG00000230149.2
826323,ENSG00000230163.1
888244,ENSG00000230303.6
145599,ENSG00000230325.1
21835,ENSG00000230393.1
83748,ENSG00000230454.1
95453,ENSG00000230470.1
145643,ENSG00000230490.4
207538,ENSG00000230515.1
145655,ENSG00000230526.1
888321,ENSG00000230552.6
207569,ENSG00000230623.8
95692,ENSG00000230696.1
145714,ENSG00000230725.6
83854,ENSG00000230834.1
888437,ENSG00000231010.1
83914,ENSG00000231073.1
888469,ENSG00000231104.8
888475,ENSG00000231119.2
826663,ENSG00000231393.1
888563,ENSG00000231424.3
157425,ENSG00000231440.1
84039,ENSG00000231505.1
641041,ENSG00000231533.2
145962,ENSG00000231628.1
84102,ENSG00000231705.1
207916,ENSG00000231830.1
517365,ENSG00000231873.2
84153,ENSG00000231881.2
22271,ENSG00000231901.1
269832,ENSG00000231927.1
703076,ENSG00000232006.9
888748,ENSG00000232043.1
84241,ENSG00000232188.1
826907,ENSG00000232220.2
269920,ENSG00000232234.4
146215,ENSG00000232518.3
270005,ENSG00000232581.1
528717,ENSG00000232628.7
84357,ENSG00000232640.1
517587,ENSG00000232682.2
84470,ENSG00000233060.1
889015,ENSG00000233064.2
84486,ENSG00000233096.1
146394,ENSG00000233191.2
146412,ENSG00000233250.1
146413,ENSG00000233251.8
146437,ENSG00000233342.2
270335,ENSG00000233755.1
146658,ENSG00000234136.1
270522,ENSG00000234425.1
827558,ENSG00000234578.1
84905,ENSG00000234584.1
84940,ENSG00000234699.1
456305,ENSG00000234810.4
951411,ENSG00000234818.1
85001,ENSG00000234902.6
146953,ENSG00000235085.3
146968,ENSG00000235126.1
765883,ENSG00000235236.1
456454,ENSG00000235288.3
518343,ENSG00000235292.2
147024,ENSG00000235319.1
270805,ENSG00000235351.1
220819,ENSG00000235389.2
23270,ENSG00000235419.5
270853,ENSG00000235522.6
85204,ENSG00000235578.1
208990,ENSG00000235612.1
208997,ENSG00000235635.1
157716,ENSG00000235726.7
147147,ENSG00000235785.1
147149,ENSG00000235795.1
147160,ENSG00000235837.1
85274,ENSG00000235843.1
85278,ENSG00000235852.1
85328,ENSG00000236031.1
209139,ENSG00000236140.1
271071,ENSG00000236299.8
85427,ENSG00000236352.1
147319,ENSG00000236358.1
889977,ENSG00000236364.4
209222,ENSG00000236389.1
85452,ENSG00000236403.2
147356,ENSG00000236449.2
23582,ENSG00000236452.1
23583,ENSG00000236453.5
518693,ENSG00000236469.1
271147,ENSG00000236495.2
220520,ENSG00000236529.2
85522,ENSG00000236643.1
395042,ENSG00000236911.6
456938,ENSG00000236936.1
271277,ENSG00000236948.2
456946,ENSG00000236968.1
147605,ENSG00000237359.2
147618,ENSG00000237390.1
457067,ENSG00000237419.1
457085,ENSG00000237473.2
85774,ENSG00000237525.7
890320,ENSG00000237529.2
85777,ENSG00000237530.2
147831,ENSG00000238171.1
147843,ENSG00000238201.1
147863,ENSG00000238273.3
147865,ENSG00000238279.3
952410,ENSG00000238280.2
86012,ENSG00000239480.1
643015,ENSG00000239572.3
643018,ENSG00000239593.1
96710,ENSG00000239775.1
890623,ENSG00000240040.6
34100,ENSG00000240086.7
903520,ENSG00000240143.1
766862,ENSG00000240207.7
148021,ENSG00000240591.2
86158,ENSG00000240915.2
395639,ENSG00000241280.1
95997,ENSG00000241679.2
98926,ENSG00000241886.1
890856,ENSG00000242396.2
457660,ENSG00000242611.2
297036,ENSG00000243008.2
519606,ENSG00000243273.2
148279,ENSG00000243276.6
157585,ENSG00000243389.1
148300,ENSG00000243491.1
272103,ENSG00000243762.1
272111,ENSG00000243818.7
95384,ENSG00000243960.1
